workflow_pk,wood_type,cellR,resolution,random_seed,target_porosity,actual_porosity,d_solid,k_x,k_y,k_z,k_avg
6471,birch,12,100x100x100,10,0.6,0.593342,0.0,2.7350130807328e-13,1.7999615112168e-13,2.4613531478898e-12,9.716168690282534e-13
9967,birch,12,100x100x100,10,0.6,0.593342,0.0,2.7350130807328e-13,1.7999615112168e-13,2.4613531478898e-12,9.716168690282534e-13
9969,unknown,12,500x500x500,10,0.6,0.596752,0.0,1.6773798015983e-13,1.6820025095859e-13,2.3436581801263e-12,8.9319880374824e-13
9973,unknown,12,500x500x500,100,0.4,0.389795,0.0,3.2891969064678e-14,2.7164026306473e-14,1.1763448786865e-12,4.1213362468588367e-13
9977,unknown,12,500x500x500,100,0.5,0.492954,0.0,6.3892003864479e-14,6.2534244440047e-14,1.7963958555705e-12,6.409407012916752e-13
9983,unknown,12,500x500x500,100,0.6,0.594951,0.0,1.4852587921006e-13,1.3424308527526e-13,2.5726533663816e-12,9.518074436223067e-13
9986,unknown,12,500x500x500,1000,0.4,0.389015,0.0,3.4377422384082e-14,3.13239521694e-14,1.0681023580038e-12,3.77934577519094e-13
9991,unknown,12,500x500x500,1000,0.6,0.599628,0.0,1.8364092380328e-13,1.54184774858e-13,2.3958826686173e-12,9.112361224261932e-13
9999,unknown,14,500x500x500,10,0.4,0.392022,0.0,2.3678178565227e-14,3.3934007337614e-14,1.4269892742529e-12,4.94867153385247e-13
10007,unknown,14,500x500x500,50,0.4,0.392595,0.0,2.5067530702031e-14,2.824821994363e-14,1.4140372727254e-12,4.891176744570204e-13
10013,unknown,14,500x500x500,50,0.5,0.495763,0.0,4.8876551818011e-14,6.8590389350284e-14,2.1612977598083e-12,7.59588233658865e-13
10015,unknown,14,500x500x500,100,0.4,0.392463,0.0,1.5720347947126e-14,2.8280873386473e-14,1.4488481282879e-12,4.97616449873833e-13
10017,unknown,14,500x500x500,1000,0.4,0.392186,0.0,3.4093177465962e-14,2.8478139612614e-14,1.3989892455923e-12,4.871868542236254e-13
10019,unknown,14,500x500x500,5000,0.4,0.394096,0.0,2.51021289235e-14,2.337303745905e-14,1.5619076469028e-12,5.367942710951166e-13
10025,unknown,14,500x500x500,5000,0.5,0.495739,0.0,4.7636984750523e-14,4.1513092989271e-14,2.3902948852598e-12,8.264816543331981e-13
10030,unknown,14,500x500x500,5000,0.6,0.595561,0.0,9.7199036658835e-14,7.5282090173745e-14,3.3705810435566e-12,1.18102072346306e-12
16823,birch,16,600x600x600,10000,0.6,0.598983,0.0,9.9128586177271e-14,1.6520634572006e-13,8.0614114346236e-12,2.7752487888403105e-12
